Gym class|2
Floating lanterns|12
Basketball|0
Other category/None of the above|4
Parade|8
Fireworks|11
Graduation|3
Sleeping|14
Guitar|9
Birthday|6
Rain|10
Cake|13
Birthday drinks|15
Soccer|5
Beach|7
Children|1
Boat|16
